title,ABS,G1,G2,G3,G4,G5,G6,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Selective induction of interleukin-6 in mouse microglia by granulocyte-macrophage colony-stimulating factor,"Abstract Astrocytes produce granulocyte/macrophage colony-stimulating factor (GM-CSF) and support the survival and proliferation of microglia. To study the functions of GM-CSF in the central nervous system (CNS), we examined the effects of GM-CSF on cytokine production by glial cells. GM-CSF induced interleukin-6 (IL-6) production by microglia, but not by astrocytes, in a dose-dependent manner as assessed by bioassay and the detection of IL-6 mRNA by reverse transcriptase-polymerase chain reaction (RT-PCR) analysis. GM-CSF did not induce tumor necrosis factor (TNF)a or IL-1 in microglia and astrocytes, whereas lipopolysaccharide induced all these cytokines. The induction of IL-6 by GM-CSF in microglia was completely inhibited by antibodies to GM-CSF. Neither IL-3 nor macrophage-CSF (M-CSF) induced IL-6 production in microglia. Given that IL-1 and TNFα, monokines derived from microglia, induce IL-6 production in astrocytes, but not in microglia, results indicate that astrocytes and microglia may mutually regulate IL-6 production by different cytokines.",0,1,0,0,0,0,-0.044345517,-0.021360977,0.027004715,-0.125376088,-0.064565103,0.031320094,0.029740096,-0.027272967,0.03458619,-0.0586429,-0.002656506,-0.025331813,-0.024426652,0.05395039,-0.019408304,0.041396284,-0.001725949,-0.041263683,-0.025302601,-0.057897518,0.020508046,-0.045923729,0.030080925,-0.016598913,-0.00512236,-0.031965379,0.018319747,0.02858699,0.049780028,-0.015333081
The coronavirus avian infectious bronchitis virus requires the cell nucleus and host transcriptional factors,"Abstract Replication of avian infectious bronchitis virus in permissive BHK-21 cells is blocked when these cells are enucleated or irradiated with ultraviolet light prior to infection, or if cells are treated with α-amanitin during the virus growth cycle. This coronavirus, like influenza virus, can replicate normally in the presence of α-amanitin in Chinese hamster ovary cells which possess a drug-resistant RNA polymerase II. These findings indicate that avian infectious bronchitis virus requires the intact cell nucleus and one or more host transcriptional functions for productive infections. Preliminary data suggest that these cellular functions involve some aspect of virus-directed RNA synthesis.",0,0,0,0,0,1,-0.127477986,-0.081715979,-0.048511414,0.055472978,-0.052151052,0.113541649,-0.035887892,-0.044414254,0.053715114,0.071304157,0.037532797,-0.083281074,0.019187415,0.148720026,0.034413272,0.068830171,-0.003020058,-0.030426027,0.014660531,0.065104971,-0.004163702,0.017532905,-0.006152911,-0.026847862,0.016201503,0.01478804,-0.020448848,0.027141218,-0.055505848,-0.018209711
Effect of sulfhydryl reagents on the infectivity of vesicular stomatitis virus,"Abstract The infectivity of vesicular stomatitis virus (VSV) was moderately affected by iodoacetic acid and drastically affected by N-ethylmaleimide; the antiviral effect of these sulfhydryl reagents was enhanced somewhat by the reducing agent, 2-mercaptoethanol. Reducing and/or alkylating reagents did not affect VSV hemagglutination and the impermeable sulfhydryl reagent, dextran-maleimide, did not significantly influence VSV infectivity. These data indicate that glycoprotein spikes are not the major sites for the antiviral activity of sulfhydryl reagents. [14C]Iodoacetic acid was able to penetrate the virion membrane to bind covalently to the free sulfhydryl groups of all five virion proteins, particularly the reduced disulfides of the L protein. The RNA polymerase activity of intact VSV was inhibited by iodoacetic acid and to a greater extent by N-ethylmaleimide, which probably accounts for the loss of viral infectivity caused by the permeable sulfhydryl reagents.",0,1,0,0,0,0,-0.094380804,-0.038752156,-0.011736723,-0.032672231,-0.072070584,0.033810124,0.027868141,-0.006527114,0.01955449,-0.002939972,-0.015458367,0.007957261,-0.009747662,-0.007828309,0.001412066,-0.001094659,0.010762767,0.021109328,0.020056621,0.029231012,-0.023922614,-0.0065813,-0.00569754,-0.027449685,0.038206306,0.044416799,-0.005336042,-0.009797959,-0.022687842,0.042103443
Further characterization of mouse hepatitis virus RNA-dependent RNA polymerases,"Abstract Two temporally and enzymatically distinct RNA-dependent RNA polymerase activities associated with membranes of the mouse hepatitis virus (MHV)-infected cells have been identified previously [Brayton et al., J. Virol. 42, 847–853 (1982)]. In this paper, the subcellular distribution and functions of these two polymerases were examined. Fractionation of the postnuclear membranes by sucrose gradient sedimentation showed that the early polymerase activity (detected at 1 hr p.i.) was homogeneous, while the late polymeras e (6 hr p.i.) was associated with two distinct membrane fractions. The early polymerase synthesized a single RNA species of viral genomic size and negative sense. In contrast, the light peak of the late polymerase synthesized genomic-sized RNA of positive sense, while the heavy peak of the activity synthesized positive-sensed genomic and subgenomic mRNAs. These findings suggest that the light peak of the late polymerase represents a replication complex while the heavy peak represents a transcription complex. They also establish the essential features of the mode of replication of MHV.",0,0,0,0,0,1,-0.162108888,-0.054615817,-0.060576687,0.043005503,-0.018968619,-0.07505274,-0.018855764,0.022310289,-0.021956793,-0.034507542,0.038988833,-0.024704608,-0.00400926,0.070664387,0.057520118,0.071087703,-0.029473726,0.01129126,0.017713027,0.012756239,-0.020645761,0.022233723,-0.01614376,-0.023848478,0.061780842,0.028557988,-0.048222091,-0.008885905,-0.049629494,0.032808962
Characterization of Kunjin virus RNA-dependent RNA polymerase: Reinitiation of synthesis in Vitro,"Abstract RNA-dependent RNA polymerase (RDRP) activity was characterized in a cytoplasmic extract of Kunjin virus-infected Vero cells at 24 hr. The activity was influenced, possibly indirectly, by the length of prior treatment of infected cells with actinomycin D; however, 6 μg/ml actinomycin D and 10−5 M α-amanitin in the RDRP assay had no effect. The replication complex was membrane-bound and Mg2+ was essential for RDRP activity. Incorporation was more dependent on exogenous UTP and GTP than ATP or CTP. The specific activity was low, and rate of incorporation of GMP decreased as the period of assay was increased; however, incorporation of label lasted for at least 60 min. RNA products were fractionated by LiCl precipitation, and kinetic studies showed that the sequence of accumulation of label was the same as that observed in vivo, viz., RI → RF → 44 S RNA; limited reinitiation was also observed. This sequence of labeling also indicated that the in vitro RDRP activity was due to an enzyme capable of elongation, release, and reinitiation of Kunjin RNA synthesis and not merely end labeling or elongating preexisting RNA molecules. No labeled bands in urea-polyacrylamide gels were observed using extracts from mock-infected cells and hence the three RNA products of assays were readily identified in a single gel. The replication complex was still active after treatment with nonionic detergent, but no labeled 44 S RNA was detected in gels, even in the presence of RNasin in the assay which inhibited some nuclease activity. Antibodies to flavivirus-specific nonstructural proteins were preincubated with infected cell extracts in the presence and absence of detergent but no inhibition of RDRP activity was observed. However, anti-dsRNA plus detergent blocked activity by as much as 78% and label was found only in RF.",0,0,0,0,0,1,-0.242382992,-0.037592897,-0.06232561,0.128606856,-0.099190343,-0.075331676,0.045064703,-0.000976701,-0.028273009,-0.004036203,0.122002071,0.097110131,-0.113092614,0.092953212,-0.031937034,-0.003950015,0.034633545,-0.028624134,0.067834379,-0.024519724,0.028475258,-0.019384295,0.094311506,-0.072145515,0.024338399,0.071352493,-0.022047681,0.05599396,-0.029904704,0.07741693
Identification of putative polymerase gene product in cells infected with murine coronavirus A59,"Abstract The virion RNA of mouse hepatitis virus, strain A59 (MHV-A59) is believed to be the mRNA for the viral RNA-dependent RNA polymerase. The cell-free translation of virion RNA results in the synthesis of two predominant products p220 and p28 (M. R. Denison and S. Perlman, 1986, J. Virol. 60, 12–18). p28 is a basic protein and is readily detected by two-dimensional gel electrophoresis. When infected cells and isolated virions were assayed for this protein by two-dimensional gel electrophoresis, p28 could be detected in infected cells labeled at late times after infection, but not at early times or in purified virions. p28 represents the first protein product of the putative coronavirus polymerase gene to be identified in infected cells.",0,0,0,0,0,1,-0.174150773,-0.058283393,-0.034245001,-0.000832309,-0.008219254,-0.073761153,-0.095974028,-0.013868297,0.025991517,-0.042959511,-0.032825107,-0.073592146,0.02299723,0.064780677,0.023662218,0.00985219,0.009558909,-0.005221904,0.038626507,0.033163512,-0.017966642,0.032200026,0.02490969,-0.005745714,0.102526294,0.100439722,-0.021546192,-0.003232831,-0.084669033,0.074097381
Analysis of intracellular small RNAs of mouse hepatitis virus: evidence for discontinuous transcription,"Abstract We have previously shown the presence of multiple small leader-containing RNA species in mouse hepatitis virus (MHV)-infected cells. In this paper, we have analyzed the origin, structure, and mechanism of synthesis of these small RNAs. Using cDNA probes specific for leader RNA and genes A, D, and F, we demonstrate that subsets of these small RNAs were derived from the various viral genes. These subsets have discrete and reproducible sizes, varying with the gene from which they are derived. The size of each subset correlates with regions of secondary structure, whose free energy ranges from −1.6 to −77.1 kcal/mol, in each of the mRNAs examined. In addition, identical subsets were detected on the replicative intermediate (RI) RNA, suggesting that they represent functional transcriptional intermediates. The biological significance of these small RNAs is further supported by the detection of leader-containing RNAs of 47, 50, and 57 nucleotides in length, which correspond to the crossover sites in two MHV recombinant viruses. These data, coupled with the high frequency of RNA recombination during MHV infection, suggest that the viral polymerase may pause in or around regions of secondary structure, thereby generating pools of free leader-containing RNA intermediates which can reassociate with the template, acting as primers for the synthesis of full-length or recombinant RNAs. These data suggest that MHV transcription uses a discontinuous and nonprocessive mechanism in which RNA polymerase allows the partial RNA products to be dissociated from the template temporarily during the process of transcription.",0,0,0,0,0,1,-0.231921865,-0.065874982,-0.036089509,0.090843192,0.048342552,-0.144482301,-0.119214929,0.050254199,-0.031060985,-0.045403752,0.000990841,-0.091039256,0.045215994,0.033741653,0.106252404,0.124651198,-0.145219597,0.043398497,-0.028560748,-0.028895069,0.019938541,-0.009912352,0.028888713,0.034033678,0.047138215,-0.00491721,0.007020606,0.016286626,0.043332669,0.034159792
Synthesis of virus-specific RNA in permeabilized murine coronavirus-infected cells,"Abstract We have developed a permeabilized cell system for assaying mouse hepatitis virus-specific RNA polymerase activity. This activity was characterized as to its requirements for mono- and divalent cations, requirements for an exogenous energy source, and pH optimum. This system faithfully reflects MHV-specific RNA synthesis in the intact cell, with regard to both its time of appearance during the course of infection and the products synthesized. The system is efficient and the RNA products were identical to those observed in intact MHV-infected cells as judged by agarose gel electrophoresis and hybridization. Permeabilized cells appear to be an ideal system for studying coronavirus RNA synthesis since they closely mimic in vivo conditions while allowing much of the experimental flexibility of truly cell-free systems.",0,0,0,0,0,1,-0.18071548,-0.031659672,-0.013986969,0.038557155,-0.050102737,-0.055521184,-0.055663089,0.006680154,0.017403418,-0.025579232,0.022104163,-0.053195471,0.017697269,0.092353636,0.061052655,0.079781834,-0.047340925,0.02701753,0.033994124,-0.004356185,-0.000830807,-0.016152778,0.060387064,-0.032369641,0.076331236,0.065771677,-0.059549493,0.028405704,-0.083453139,0.026761456
Defective-interfering particles of murine coronavirus: Mechanism of synthesis of defective viral RNAs,"Abstract The mechanism of synthesis of the defective viral RNAs in cells infected with defective-interfering (DI) particles of mouse hepatitis virus was studied. Two DI-specific RNA species, DIssA of genomic size and DIssE of subgenomic size, were detected in DI-infected cells. Purified DI particles, however, were found to contain predominantly DIssA and only a trace amount of DIssE RNA. Despite its negligible amount, the DIssE RNA in virions appears to serve as the template for the synthesis of DIssE RNA in infected cells. This conclusion was supported by two studies. First, the uv target size for DIssE RNA synthesis is significantly smaller than that for DIssA. Second, when purified DIssE RNA was transfected into cells which had been infected with a helper virus, DIssE RNA could replicate itself and became a predominant RNA species in the infected cells. Thus, DIssE RNA was not synthesized from the genomic RNA of DI particles. By studying the relationship between virus dilution and the amount of intracellular viral RNA synthesis, we have further shown that DIssE RNA synthesis requires a helper function, but it does not utilize the leader sequence of the helper virus. In contrast, DIssA synthesis appears to be helper-independent and can replicate itself. Thus DIssA codes for a functional RNA polymerase.",0,0,0,0,0,1,-0.217806872,-0.074719737,-0.058696232,0.08239826,-0.000238597,-0.135202172,-0.106894684,0.057326156,-0.038254555,-0.053364667,0.048607289,-0.110905343,0.012770983,0.08365092,0.170984923,0.18168581,-0.176132044,0.083362897,0.023449563,-0.003726512,0.020157166,-0.003966313,0.066238856,-0.037528602,0.065674535,0.060231442,-0.01187182,0.006894426,0.024272911,0.033728284
Primary structure and translation of a defective interfering rna of murine coronavirus,"Abstract An intracellular defective-interfering (DI) RNA, DIssE, of mouse hepatitis virus (MHV) obtained after serial high multiplicity passage of the virus was cloned and sequenced. DIssE RNA is composed of three noncontiguous genomic regions, representing the first 864 nucleotides of the Fend, an internal 748 nucleotides of the polymerase gene, and 601 nucleotides from the 3′ end of the parental MHV genome. The DIssE sequence contains one large continuous open reading frame. Two protein products from this open reading frame were identified both by in vitro translation and in DI-infected cells. Sequence comparison of DIssE and the corresponding parts of the parental virus genome revealed that DIssE had three base substitutions within the leader sequence and also a deletion of nine nucleotides located at the junction of the leader and the remaining genomic sequence. The 5′ end of DIssE RNA was heterogeneous with respect to the number of UCUAA repeats within the leader sequence. The parental MHV genomic RNA appears to have extensive and stable secondary structures at the regions where DI RNA rearrangements occurred. These data suggest that MHV DI RNA may have been generated as a result of the discontinuous and nonprocessive manner of MHV RNA synthesis.",0,0,0,0,0,1,-0.235051133,-0.076129762,-0.043218853,0.042911399,0.097461019,-0.166250233,-0.237979043,0.069175595,-0.015638886,-0.10252881,-0.048883021,-0.127201854,0.071884136,-0.038626328,0.150816917,0.142887516,-0.180117266,0.127762966,0.010779098,-0.015734519,0.058991122,-0.043078845,0.071805363,0.041520007,0.086017288,0.097841311,0.019233417,-0.040765266,0.048116105,-0.009304357
